,CO,AB,FACID,DIS,FNAME,FSTREET,FCITY,FZIP,FSIC,COID,DISN,CHAPIS,CERR_CODE,TOGT,ROGT,COT,NOXT,SOXT,PMT,PM10T,PM2.5T,lat,lon
449,1,SF,21367,BA,DEPARTMENT OF WATER RESOURCES,3301 DYER ROAD,LIVERMORE,94551,8734,ALA,BAY AREA AQMD,,,0.0030598220000000002,0.0030136959999999997,0.02025635,0.006455306,5.116064,0.000179391,0.000179391,0.000179391,37.7463271418455,-121.676978805168
450,1,SF,12177,BA,DEPENDABLE FURNITURE MANUFACTURING,888 DOOLITTLE DRIVE,SAN LEANDRO,94577,2521,ALA,BAY AREA AQMD,,,20.092630368,8.252821668,,,,,,,37.71943,-122.18905
451,1,SF,12094,BA,DESIGN WORKSHOPS,486 LESSER STREET,OAKLAND,94601,3541,ALA,BAY AREA AQMD,,,5.95943355,4.840885552950001,,,,,,,37.76353,-122.21895
452,1,SF,17755,BA,DESILVA GATES CONSTRUCTION,11555 DUBLIN BLVD,DUBLIN,94568,2951,ALA,BAY AREA AQMD,,,2.51766699,2.51006698,0.14,0.560924,0.01771399,0.05765647,0.053166635999999996,0.05267848,37.69936,-121.94243
453,1,SF,21035,BA,"DESILVA GATES CONSTRUCTION, LP",6527 CALAVERAS RD,SUNOL,94586,1442,ALA,BAY AREA AQMD,,,0.07484655,0.05638937,0.34000040000000004,1.3622459999999998,0.005520127,63.557883915,32.071459366,5.3073908030000005,37.5516666717834,-121.857801464405
454,1,SF,20586,BA,DIGITAL 720 2ND LLC,720 2ND STREET,OAKLAND,94607,4813,ALA,BAY AREA AQMD,,,0.012610739,0.011090373,0.024651094,0.69676848,0.00072009,0.004300885999999999,0.004128850999999999,0.004029931,37.79903,-122.28282
455,1,SF,290,BA,DOE-KAO SANDIA NATIONAL LABORATORIES,7011 EAST AVENUE,LIVERMORE,94550,8733,ALA,BAY AREA AQMD,,,1.6105971890000002,1.113578418,0.15728797,0.918752342,0.004975236,0.125470275,0.11410895800000001,0.10351511599999999,37.6792,-121.71074
456,1,SF,19557,BA,DOLD'S WORKSHOP,6349 SCARLETT CT,DUBLIN,94568,4581,ALA,BAY AREA AQMD,,,1.55054622,0.92517897,,,,,,,37.7028484223625,-121.905921325941
457,1,SF,20802,BA,"DOMAIN RESIDENCES, LLC",1389 JEFFERSON ST,OAKLAND,94612,6512,ALA,BAY AREA AQMD,,,0.000410006,0.00035648099999999996,0.006620371999999999,0.003830149,1.305e-05,2.8555e-05,2.7411999999999998e-05,2.6756e-05,37.8056009591204,-122.274935968988
458,1,SF,19343,BA,"DOMINO'S PIZZA, INC",30852 SAN ANTIONIO ST,HAYWARD,94544,2015,ALA,BAY AREA AQMD,,,0.08850002,0.08850002,,,,0.02142854,0.014999984,0.00899999,37.61536,-122.04779
459,1,SF,19486,BA,DOUBLE TREE HOTEL,200 MARINA BOULEVARD,BERKELEY,94710,7011,ALA,BAY AREA AQMD,,,8.6e-08,7.5e-08,6.26e-07,1.4359999999999999e-06,3e-09,8.1e-08,7.8e-08,7.599999999999999e-08,37.86835,-122.3141
460,1,SF,20956,BA,DSM BIOMEDICAL,2850 7TH AVENUE,BERKELEY,94710,2836,ALA,BAY AREA AQMD,,,0.000547274,0.00047613099999999997,0.007354635,0.009397728000000001,1.7346e-05,0.00024045700000000002,0.000230838,0.000225308,37.85392,-122.29236
461,1,SF,1371,BA,DUBLIN SAN RAMON SERVICES DISTRICT - WASTEWATER TP,7399 JOHNSON DRIVE,PLEASANTON,94588,4952,ALA,BAY AREA AQMD,,,18.185132894000002,5.160763438,3.518008945,6.499989543,0.412598951,0.306562709,0.30432431600000004,0.30227736,37.68712,-121.91506
462,1,SF,8061,BA,DUBLIN SAND BLASTING,6287 DOUGHERTY RD,DUBLIN,94568,3471,ALA,BAY AREA AQMD,,,,,,,,1.332e-05,6.414e-06,6.389999999999999e-07,37.70924,-121.90961
463,1,SF,18612,BA,DUE TORRI COFFEE,"910 81ST AVE, UNIT 15",OAKLAND,94621,2043,ALA,BAY AREA AQMD,,,0.01555656,0.01555656,,0.0014676,,0.06163919,0.04314743,0.02588846,37.7512,-122.18699
464,1,SF,20009,BA,DUPOINT PIONEER,4030 POINT EDEN WAY,HAYWARD,94545,2869,ALA,BAY AREA AQMD,,,0.001538241,0.0014057689999999999,0.006768514000000001,0.0267361,3.2299000000000004e-05,0.000764314,0.000733742,0.000716163,37.62494,-122.12793
465,1,SF,15492,BA,DUPONT ELECTRONIC TECHNOLOGIES,2520 BARRINGTON CT,HAYWARD,94545,2899,ALA,BAY AREA AQMD,,,3.378985052,3.365117937,0.129358058,0.75525702,0.004144575,0.07309752900000001,0.073082466,0.073073805,37.65498,-122.14004
