Observation Date,Confirmed,Day,Total per Day
02/09/2020,7,,
02/09/2020,5,,
02/09/2020,4,,
02/09/2020,4,,
02/09/2020,4,,
02/09/2020,3,,
02/09/2020,3,,
02/09/2020,3,,
02/09/2020,3,,
02/09/2020,2,,
02/09/2020,2,,
02/09/2020,2,,
02/09/2020,2,,
02/09/2020,2,,
02/09/2020,2,,
02/09/2020,2,,
02/09/2020,1,,
02/09/2020,1,,
02/09/2020,1,,
02/09/2020,1,,
02/09/2020,1,,
02/09/2020,1,,
02/09/2020,1,,
02/09/2020,1,,
02/09/2020,1,,
02/09/2020,1,,
02/09/2020,1,,
02/09/2020,1,,
02/09/2020,1,,
02/09/2020,1,,
02/10/2020,31728,,
02/10/2020,1159,,
02/10/2020,1092,,
02/10/2020,1073,,
02/10/2020,879,,
02/10/2020,830,,
02/10/2020,771,,
02/10/2020,492,,
02/10/2020,486,,
02/10/2020,466,,
02/10/2020,405,,
02/10/2020,337,,
02/10/2020,331,,
02/10/2020,299,,
02/10/2020,261,,
02/10/2020,218,,
02/10/2020,213,,
02/10/2020,210,,
02/10/2020,149,,
02/10/2020,138,,
02/10/2020,135,,
02/10/2020,119,,
02/10/2020,109,,
02/10/2020,108,,
02/10/2020,95,,
02/10/2020,83,,
02/10/2020,80,,
02/10/2020,58,,
02/10/2020,49,,
02/10/2020,49,,
02/10/2020,45,,
02/10/2020,38,,
02/10/2020,32,,
02/10/2020,27,,
02/10/2020,26,,
02/10/2020,18,,
02/10/2020,18,,
02/10/2020,18,,
02/10/2020,14,,
02/10/2020,14,,
02/10/2020,11,,
02/10/2020,10,,
02/10/2020,8,,
02/10/2020,8,,
02/10/2020,5,,
02/10/2020,4,,
02/10/2020,4,,
02/10/2020,4,,
02/10/2020,3,,
02/10/2020,3,,
02/10/2020,3,,
02/10/2020,2,,
02/10/2020,2,,
02/10/2020,2,,
02/10/2020,2,,
02/10/2020,2,,
02/10/2020,2,,
02/10/2020,2,,
02/10/2020,1,,
02/10/2020,1,,
02/10/2020,1,,
02/10/2020,1,,
02/10/2020,1,,
02/10/2020,1,,
02/10/2020,1,,
02/10/2020,1,,
02/10/2020,1,,
02/10/2020,1,,
02/10/2020,1,,
02/10/2020,1,,
02/10/2020,1,,
02/10/2020,1,,
02/11/2020,33366,,
02/11/2020,1177,,
02/11/2020,1117,,
02/11/2020,1105,,
02/11/2020,912,,
02/11/2020,860,,
02/11/2020,804,,
02/11/2020,515,,
02/11/2020,505,,
02/11/2020,487,,
02/11/2020,417,,
02/11/2020,360,,
02/11/2020,342,,
02/11/2020,303,,
02/11/2020,267,,
02/11/2020,239,,
02/11/2020,219,,
02/11/2020,215,,
02/11/2020,153,,
02/11/2020,144,,
02/11/2020,135,,
02/11/2020,127,,
02/11/2020,124,,
02/11/2020,111,,
02/11/2020,106,,
02/11/2020,86,,
02/11/2020,81,,
02/11/2020,58,,
02/11/2020,55,,
02/11/2020,53,,
02/11/2020,49,,
02/11/2020,47,,
02/11/2020,33,,
02/11/2020,28,,
02/11/2020,26,,
02/11/2020,18,,
02/11/2020,18,,
02/11/2020,18,,
02/11/2020,16,,
02/11/2020,15,,
02/11/2020,11,,
02/11/2020,10,,
02/11/2020,8,,
02/11/2020,8,,
02/11/2020,5,,
02/11/2020,4,,
02/11/2020,4,,
02/11/2020,4,,
02/11/2020,3,,
02/11/2020,3,,
